ID,PRONOUN,CONCEPT,DESCRIPTION,AUTHOR_LAST,AUTHOR_FIRST,CITATION,LNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Belgium,the country where the greater part of the population complains of a pain in the tonsils after a kick in the balls.,Geeraerts,Jef,The Ultimate Dictionary of Wit and Wisdom. Gerde de Ley.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,aphorism,literature's hand luggage.,Geary,James,The Ultimate Dictionary of Wit and Wisdom. Gerde de Ley.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,jazz,the only form of art existing today in which there is freedom of the individual without the loss of group contact.,Brubeck,Dave,The Ultimate Dictionary of Wit and Wisdom. Gerde de Ley.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,the,chaise longue,yawn furniture.,Brown,Daisy,The Ultimate Dictionary of Wit and Wisdom. Gerde de Ley.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,journalism,turning one's enemies into money.,Brown,Craig,The Ultimate Dictionary of Wit and Wisdom. Gerde de Ley.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a,pariah,something like a martyr with more suffering and less class.,Brown,Rita Mae,The Ultimate Dictionary of Wit and Wisdom. Gerde de Ley.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,the,heart,a clenched fist boxing inside our chest.,Gomez de la Serna,Ramon,The Ultimate Dictionary of Wit and Wisdom. Gerde de Ley.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,tango,a constant goodbye.,Gomez de la Serna,Ramon,The Ultimate Dictionary of Wit and Wisdom. Gerde de Ley.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a,contortionist,a fellow who pawned his skeleton.,Gomez de la Serna,Ramon,The Ultimate Dictionary of Wit and Wisdom. Gerde de Ley.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a,scrap book,a graveyard for lost thoughts.,Gomez de la Serna,Ramon,The Ultimate Dictionary of Wit and Wisdom. Gerde de Ley.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,the,capitalist,a gymnast with many telephones.,Gomez de la Serna,Ramon,The Ultimate Dictionary of Wit and Wisdom. Gerde de Ley.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,writing,"always in some way a portrayal of the writer himself in his works, even if it be against his will.",Goethe,Johann Wolfgang von,,"Every author in some way portrays himself in his works, even if it be against his will.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a,rainbow,"a thing which, if lasting as long as a quarter of an hour, we stop looking at.",Goethe,Johann Wolfgang von,,When a rainbow has lasted as long as a quarter of an hour we stop looking at it.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,jealousy,the most dreadfully involuntary of all sins.,Murdoch,Iris,The Ultimate Dictionary of Wit and Wisdom. Gerde de Ley.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,the,Winter Olympics,"a celebration of amateur athletes, frostbite and unpronounceable Russian surnames.",Murphy,Ryan,The Ultimate Dictionary of Wit and Wisdom. Gerde de Ley.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mathematics,"a language without metaphors, which is why it is the perfect tool for conveying precise meaning- and perfectly useless for inspiring people.",Szasz,Thomas,Thomas Szasz. The Untamed Tongue.,Mathematics is a language without metaphors. That is why it is the perfect tool for conveying precise mean- ing- and perfectly useless for inspiring people.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,jealousy,"a poor medium to secure love, but a secure medium to destroy one's self-respect.",Goldman,Emma,The Ultimate Dictionary of Wit and Wisdom. Gerde de Ley.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,revolution,but thought carried into action.,Goldman,Emma,,Revolution is but thought carried into action.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,crime,something that is committed by the lower class and punished by the upper class.,Frost,David,The Ultimate Dictionary of Wit and Wisdom. Gerde de Ley.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,today,yesterday's pupil.,Franklin,Benjamin,Dictionary of Wit and Satire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
